definition,noun,noun_synset,hypernym,hypernym_synset,hyponym,hyponym_synset,similarity_noun_hyponym_st,similarity_noun_hyponym_transE,similarity_noun_hyponym_rdf2vec,similarity_noun_hyponym_transE_new,similarity_noun_hypernym_st,similarity_noun_hypernym_transE,similarity_noun_hypernym_rdf2vec,similarity_noun_hypernym_transE_new
adult female chicken,hen,oewn-01795281-n,chicken,oewn-01794266-n,cackler,oewn-01795449-n,0.5399699,0.48613351165755747,0.9782471060752868,0.4694763783877612,0.49823245,0.5002161198865894,0.9237013459205629,0.5183748827754727
adult male chicken,rooster,oewn-01794799-n,chicken,oewn-01794266-n,cockerel,oewn-01795070-n,0.53112346,0.48921851511096104,0.9926543235778807,0.4467822561425295,0.44792727,0.3076664090003132,0.9875319004058838,0.5752548834087254
any of numerous small pigeons,dove,oewn-01814978-n,pigeon,oewn-01814550-n,turtledove,oewn-01816026-n,0.691175,0.4032319944830088,0.9930914640426636,0.3753853515818436,0.5416949,0.5522227905593761,0.965470254421234,0.44933661012014003
any of several small Old World finches,canary,oewn-01535980-n,finch,oewn-01532313-n,common canary,oewn-01536122-n,0.5157444,0.3822682285951895,0.9923041462898254,0.5437414909018542,0.5276861,0.43998971831007555,0.967624306678772,0.26108694460983456
small golden or orange-red freshwater fishes of Eurasia used as pond or aquarium fishes,goldfish,oewn-01446178-n,cyprinid,oewn-01441762-n,silverfish,oewn-01446377-n,0.56059504,0.557149559804195,0.9399027824401855,0.5091461031756696,0.5194413,0.4423745822903513,0.9603781700134276,0.46200578226557726
any of various large food and game fishes of northern waters; usually migrate from salt to fresh water to spawn,salmon,oewn-02537365-n,salmonid,oewn-02537190-n,blackfish,oewn-02537794-n,0.4702887,0.5311167161824628,0.9181066751480104,0.5375933633277398,0.5486292,0.5444458872436208,0.9411956071853638,0.4365558976594178
any of various game and food fishes of cool fresh waters mostly smaller than typical salmons,trout,oewn-02539716-n,salmonid,oewn-02537190-n,brown trout,oewn-02539950-n,0.33123738,0.3367979772133944,0.9873087406158448,0.4728014557328245,0.69022226,0.42933666777582596,0.9289971590042114,0.40481558900719
any very large marine food and game fish of the genus Thunnus; related to mackerel; chiefly of warm waters,tuna,oewn-02629392-n,scombroid,oewn-02626075-n,albacore,oewn-02629667-n,0.7664746,0.44367750855018256,0.971616804599762,0.4059843579441127,0.5929216,-0.16778244879723417,0.9626491665840148,0.43776737815561634
major food fish of Arctic and cold-temperate waters,cod,oewn-02525030-n,gadoid,oewn-02524277-n,codling,oewn-02525268-n,0.43802923,0.5161053227772222,0.989464521408081,0.43547659869934024,0.36397314,0.3935772750918909,0.9215654134750366,0.3600696074889802
any of various small edible herring or related food fishes frequently canned,sardine,oewn-02535233-n,clupeid fish,oewn-02532403-n,sild,oewn-02535417-n,0.7243901,0.3191739936241268,0.9896986484527588,0.36795295224565755,0.5259852,0.3518330670423382,0.9731733798980712,0.395633108095426
small herring-like plankton-eating fishes often canned whole or as paste; abundant in tropical waters worldwide,anchovy,oewn-02536465-n,soft-finned fish,oewn-01431221-n,mediterranean anchovy,oewn-02536796-n,0.42235416,0.31946051328246144,0.9844486117362976,0.4627828462478934,0.50562894,0.24512941276442585,0.9770634174346924,0.45577690131731263
any of various freshwater fish of the family Cyprinidae,carp,oewn-01442155-n,cyprinid,oewn-01441762-n,domestic carp,oewn-01442449-n,0.4615792,0.3157612846034271,0.9553921222686768,0.47003439613217407,0.58195615,0.4897576905095611,0.935306966304779,0.3200814267971605
either of two large northern marine mammals having ivory tusks and tough hide over thick blubber,seahorse,oewn-02084223-n,pinniped mammal,oewn-02078579-n,Atlantic walrus,oewn-02084450-n,0.514338,0.3617915892303964,0.9862251877784728,0.4544240695300321,0.33375266,0.4313037753162091,0.9690207242965698,0.424707752621423
cud-chewing mammal used as a draft or saddle animal in desert regions,camel,oewn-02439767-n,even-toed ungulate,oewn-02397129-n,Arabian camel,oewn-02439943-n,0.6296316,0.44005498399882337,0.9763858914375304,0.434095132568488,0.44096965,0.38317738964190706,0.9481788873672484,0.5000279172118262
wild or domesticated South American cud-chewing animal related to camels but smaller and lacking a hump,llama,oewn-02440247-n,even-toed ungulate,oewn-02397129-n,domestic llama,oewn-02440602-n,0.5551211,0.3757034006564379,0.9680271744728088,0.5417994054706364,0.2856304,0.49088604928872354,0.9502183198928832,0.4488529697853108
a mongoose-like viverrine of South Africa having a face like a lemur and only four toes,meerkat,oewn-02141093-n,viverrine,oewn-02137623-n,slender-tailed meerkat,oewn-02141299-n,0.55881345,0.5294439931310608,0.991016685962677,0.365051213467261,0.31713355,0.38415555809744256,0.980762779712677,0.5346861052028702
relatively large rodents with sharp erectile bristles mingled with the fur,porcupine,oewn-02349279-n,rodent,oewn-02332053-n,Old World porcupine,oewn-02349650-n,0.4566151,0.4623639697023317,0.9785518050193788,0.48224739925904136,0.6806226,0.3071074519292759,0.9059025645256042,0.3947997140904612
an omnivorous nocturnal mammal native to North America and Central America,raccoon,oewn-02510652-n,procyonid,oewn-02510280-n,common raccoon,oewn-02510844-n,0.8012857,0.5759482969920596,0.954182505607605,0.5101142638387084,0.39968264,0.30117910656034547,0.9742348790168762,0.29495226454026363
American musteline mammal typically ejecting an intensely malodorous fluid when startled; in some classifications put in a separate subfamily Mephitinae,skunk,oewn-02448346-n,musteline mammal,oewn-02443957-n,striped skunk,oewn-02448837-n,0.3710758,0.47440379964798307,0.9818331003189088,0.37095214985180164,0.5203322,0.2864324094450179,0.9121050834655762,0.43661420824432634
sturdy carnivorous burrowing mammal with strong claws; widely distributed in the Northern Hemisphere,badger,oewn-02449997-n,musteline mammal,oewn-02443957-n,American badger,oewn-02450393-n,0.6343899,0.4116753334244247,0.9827420115470886,0.3713477090566984,0.58830214,0.3949745559681994,0.920487642288208,0.49698907217871163
small carnivorous mammal with short legs and elongated body and neck,weasel,oewn-02444573-n,musteline mammal,oewn-02443957-n,ermine,oewn-02444803-n,0.015330795,0.5220502643999086,0.9534191489219666,0.38118675793053985,0.43801895,0.37538089077853537,0.8848636150360107,0.4398153516597495
agile grizzled Old World viverrine; preys on snakes and rodents,mongoose,oewn-02140201-n,viverrine,oewn-02137623-n,Indian mongoose,oewn-02140374-n,0.75962806,0.3728089331181517,0.990869402885437,0.4035279884314437,0.3774494,0.36796092931570457,0.9707019925117492,0.3944820270595435
burrowing chiefly nocturnal mammal with body covered with strong horny plates,armadillo,oewn-02457010-n,edentate,oewn-02456242-n,peba,oewn-02457425-n,0.4194148,0.4359173123282239,0.9802802801132202,0.47845034709034395,0.48202413,0.4013471675525417,0.9166433811187744,0.325442785571391
any of various primates with short tails or no tail at all,ape,oewn-02472956-n,primate,oewn-02472545-n,anthropoid ape,oewn-02473530-n,0.687937,0.39359134997899536,0.9384880661964417,0.38546551516602584,0.5024085,0.5080655664610277,0.8873822689056396,0.4834760400536841
Arctic deer with large antlers in both sexes; called ‘reindeer’ in Eurasia and ‘caribou’ in North America,caribou,oewn-02436556-n,deer,oewn-02432691-n,woodland caribou,oewn-02436821-n,0.6713177,0.481281099070704,0.98204106092453,0.4513461238763821,0.6671394,0.5761795895784603,0.9607601165771484,0.45529097539229213
